id,contentId,firstname,lastname,castMember,character,createdAt,createdBy,modifiedAt,modifiedBy,movieStar,nr,contentNr,,,
73,16,Emil,Mitrache,Emil Mitrache,Americanu',,,,,,73,16,,,
74,17,Adrian,Nartea,Adrian Nartea,Vlad Pop,,,,,,74,17,,,
75,17,Olimpia,Melinte,Olimpia Melinte,Eliza Dragomir,,,,,,75,17,,,
76,17,Andrei,Aradits,Andrei Aradits,Stefan Dragomir,,,,,,76,17,,,
77,17,Emilian,Oprea,Emilian Oprea,Leonard Cazacu,,,,,,77,17,,,
78,17,Victoria,Raileanu,Victoria Raileanu,Miki,,,,,,78,17,,,
79,18,Andi,Vasluianu,Andi Vasluianu,Mihai Iacob,,,,,,79,18,,,
80,18,Aida,Economu,Aida Economu,Ana Casian,,,,,,80,18,,,
81,18,Gabriel,Radu,Gabriel Radu,Principal Tanase,,,,,,81,18,,,
82,18,Cosmin,Natanticu,Cosmin Natanticu,Mugur,,,,,,82,18,,,
83,19,Gheorghe,Ifrim,Gheorghe Ifrim,Vasile,,,,,,83,19,,,
84,19,Mihai,Bobonete,Mihai Bobonete,Bobita,,,,,,84,19,,,
85,19,Anca,Dumitra,Anca Dumitra,Geanina,,,,,,85,19,,,
86,19,Constanin,Dita,Constanin Dita,Giani,,,,,,86,19,,,
87,20,Andreea,Ibacka,Andreea Ibacka,Irina Dumbrava,,,,,,87,20,,,
88,20,Denis,Stefan,Denis Stefan,Medalion Codrut Fieraru,,,,,,88,20,,,
89,20,Gheorghe,Dinica,Gheorghe Dinica,Aurica Fieraru,,,,,,89,20,,,
90,20,Loredana,Groza,Loredana Groza,Rodia,,,,,,90,20,,,
91,20,Carmen,Tanase,Carmen Tanase,Flacara Potcovaru,,,,,,91,20,,,
92,21,Rui,Gomes,Rui Gomes,Julio,,,,,,92,21,,,
93,21,Isabel,Ruth,Isabel Ruth,Ilda,,,,,,93,21,,,
94,22,Ricardo,Aibéo,Ricardo Aibéo,Leonel,,,,,,94,22,,,
95,23,Ana,Brandão,Ana Brandão,Catarina,,,,,,95,23,,,
96,24,Leonor,Silveira,Leonor Silveira,Ema,,,,,,96,24,,,
97,24,Luís,Miguel,Luís Miguel Cintra,Carlos,,,,,,97,24,,,Cintra
98,25,João,César,João César Monteiro,João de Deus,,,,,,98,25,,,Monteiro
147,38,Arturs,Ekis,Arturs Ekis,Peteris,,,,,1,147,38,,,
100,26,Cláudio,da Silva,Cláudio da Silva,Jorge,,,,,,100,26,,,
157,39,Arturs,Ekis,Arturs Ekis,Peteris,,,,,,147,39,,,
102,28,Nuno,Lopes,Nuno Lopes,Mário,,,,,,102,28,,,
190,43,Aurelija,Anuzite,Aurelija Anuzite,Anna Petersone,,,,,1,190,43,,,
220,45,Aurelija,Anuzite,Aurelija Anuzite,Manga,,,,,1,190,45,,,
105,29,Teresa,Madruga,Teresa Madruga,Aurora (old),,,,,,105,29,,,
106,30,Maria,de,Maria de Medeiros,Self,,,,,,106,30,,,Medeiros
107,33,Lilita,Berzina,Lilita Berzina,Aunt Mirta,,,,,1,107,33,,,
201,43,Andris,Keiss,Andris Keiss,Raimonds Jurevičs,,,,,,201,43,,,
217,45,Andris,Keiss,Andris Keiss,Vitols,,,,,,201,45,,,
226,46,Andris,Keiss,Andris Keiss,Edgars Grauds,,,,,1,201,46,,,
111,33,Baiba,Indriksone,Baiba Indriksone,Olita Spreslina,,,,,,111,33,,,
101,27,Beatriz,Batarda,Beatriz Batarda,Narrator,,,,,,101,27,,,
113,33,Romualds,Ancans,Romualds Ancans,Jazeps,,,,,,113,33,,,
103,28,Beatriz,Batarda,Beatriz Batarda,Alice,,,,,,101,28,,,
123,35,Dina,Kuple,Dina Kuple,Anita Sondore,,,,,1,123,35,,,
116,34,Astrida,Kairisha,Astrida Kairisha,Zane,,,,,,116,34,,,
117,34,Peteris,Gaudins,Peteris Gaudins,Gatins,,,,,,117,34,,,
154,38,Baiba,Indriksone,Baiba Indriksone,Lene,,,,,,111,38,,,
119,34,Elita,Krastina,Elita Krastina,Anda,,,,,,119,34,,,
164,39,Baiba,Indriksone,Baiba Indriksone,Lene,,,,,,111,39,,,
121,34,Antra,Liedskalnina,Antra Liedskalnina,Ciepa,,,,,,121,34,,,
182,41,Dina,Kuple,Dina Kuple,Kresas Maija,,,,,,123,41,,,
206,43,Dita,Lurina-Egliena,Dita Lurina-Egliena,Marta Petersone,,,,,,206,43,,,
124,35,Liga,Liepina,Liga Liepina,Bella,,,,,,124,35,,,
